@relation R_data_frame

@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute outlier {no,yes}

@data
0.481481,0.551724,0.329114,0.13,0,0,0.583333,0.255814,no
0.296296,0.62069,0.341772,0.27,0,0,0.666667,0.255814,no
0.555556,0.563218,0.35443,0.15,0,0,0.666667,0.255814,no
0.283951,0.356322,0.341772,0.54,0,0,0.583333,0.255814,no
0.395062,0.310345,0.443038,0.17,0,0.60241,0.6,0.255814,no
0.382716,0.471264,0.341772,0.65,0,0,0.666667,0.255814,no
0.444444,0.425287,0.56962,0.36,0,0,0.6,0.255814,no
0.259259,0.298851,0.493671,0.15,0,0,0.75,0.348837,no
0.259259,0.333333,0.455696,0.35,0,0,0.666667,0.290698,no
0.506173,0.310345,0.392405,0.46,0,0,0.666667,0.255814,no
0.580247,0.482759,0.303797,0.19,0,0,0.55,0.255814,no
0.333333,0.356322,0.392405,0.11,0,0,0.616667,0.255814,no
0.345679,0.298851,0.367089,0.11,0,0,0.6,0.465116,no
0.320988,0.310345,0.367089,0.16,0,0,0.616667,0.255814,no
0.296296,0.356322,0.341772,0.22,0,0,0.633333,0.255814,no
0.666667,0.574713,0.265823,0.3,0,0,0.6,0.255814,no
0.296296,0.45977,0.392405,0.13,0,0,0.7,0.255814,no
0.333333,0.45977,0.392405,0.15,0,0,0.75,0.255814,no
0.395062,0.436782,0.392405,0.51,0,0,0.683333,0.255814,no
0.493827,0.367816,0.405063,0.19,0,0,0.766667,0.313953,no
0.469136,0.390805,0.493671,0.18,0,0,0.633333,0.255814,no
0.54321,0.62069,0.455696,0.24,0,0,0.6,0.255814,no
0.753086,0.862069,0.189873,0.39,0,0,0.716667,0.383721,no
0.395062,0.436782,0.278481,0.87,0,0,0.65,0.255814,no
0.234568,0.551724,0.506329,0.12,0,0,0.666667,0.546512,no
0.728395,0.701149,0.265823,0.26,0,0,0.5,0.255814,no
0.679012,0.62069,0.329114,0.34,0,0,0.483333,0.255814,no
0.654321,0.551724,0.303797,0.3,0,0,0.683333,0.290698,no
0.259259,0.367816,0.455696,0.18,0,0,0.716667,0.302326,no
0.493827,0.45977,0.278481,0.44,0,0,0.616667,0.255814,no
